ra,dec,parallax,source_id,phot_g_mean_mag,bp_rp,ticid,tmag,dist
263.27344309022527,-30.58646322307003,54.813841629979784,4058369298698605440,12.506283,2.6372166,101334167,10.62,0.00024964622010863543
263.2749225537029,-30.586120963739436,54.71226116293333,4058369298708349824,12.449647,2.6545296,101334173,11.21,0.0002077198596870076
262.85266598159296,-30.608075579871628,10.345058475349006,4058392736422818944,16.083496,2.8740396,163761671,14.38,0.00023077184290967454
262.35490356556534,-30.610218032273764,5.939640147132101,4058400737861904256,10.480048,0.7718487,161909108,10.05,8.208919131544536e-05
262.96982971395926,-30.51967375010872,13.349373370795266,4058413936384846336,10.223912,1.0719824,100316921,9.61,6.563945642324462e-05
262.91917766763856,-30.549055588242037,3.0697817945150674,4058416719523676672,11.206897,0.89616394,163760901,10.66,4.9202203368020884e-05
262.89846750771187,-30.24567990330563,0.7279170413753481,4058439637474227200,7.875341,0.3905177,163645189,7.68,3.5015233734510705e-05
263.8519391227379,-30.30012537679407,6.647643107482392,4058462551024296576,15.193178,2.271821,103401304,14.1,9.087464263657068e-05
263.50721049636803,-30.41119943476865,0.6697819493162376,4058466227526604032,7.3180947,0.23621273,102350035,7.21,9.053228100339928e-06
264.0588222892687,-29.696223719897525,18.10455020492744,4058516942495122432,14.24399,2.6547651,199406418,12.93,7.919014380884198e-05
264.04652276788704,-29.679717859900464,19.878226582676803,4058517015609175808,10.62833,1.5594988,199406693,9.78,0.00021026433326618596
263.6640111516389,-29.6725452615227,5.829699669775113,4058561236604184448,14.317836,2.1745567,198527273,12.98,5.538508878331054e-05
262.1372867518831,-30.447608518178345,6.841669588842867,4058605934218952960,14.0648575,1.83185,161767518,13.12,0.00013413586680151171
262.19272973348757,-30.299914501500666,7.059310442977694,4058609340229468928,14.638961,2.1395512,161894644,13.69,0.00014045163237776426
262.4883370562983,-30.03639573701792,4.900214917656785,4058643764284423296,15.123854,2.0795898,162763175,13.91,3.234140389804559e-05
261.91952880038247,-30.08223163213273,6.018925739059625,4058665548367724672,14.500337,2.00461,161006052,13.34,9.217041114109283e-05
262.0098012648126,-29.887311673549636,8.997836583830432,4058686684017640704,9.131046,0.6905775,161008345,8.76,1.1235857947419414e-05
261.83873343706745,-29.867628823158867,29.856529369671453,4058689054793913216,4.1241307,0.5511534,88562096,3.83,0.00017337759958235333
261.90644293916654,-29.724702540077352,4.533709437489406,4058692765692242432,5.945426,0.05843973,88662501,5.92,3.7323979465515464e-05
262.4380841484417,-29.655031324339447,1.3533191302606793,4058707162426697344,9.187201,1.549983,188942357,8.29,3.359208045626066e-05
262.4424415232083,-29.57197570312283,7.653897038666399,4058709155253882112,16.369062,2.8626537,188944705,14.88,0.00012913523508942585
263.06906647981197,-29.770599627801957,5.1391007822302,4058732726046873728,15.09196,2.0274868,194819467,14.09,2.9097390177509767e-05
262.8589693964522,-29.627005104763786,9.64534224946716,4058750142041066368,13.255907,1.9625826,192710291,12.2,9.854471470556045e-05
262.9423931128412,-29.59024251320594,9.933061177893153,4058755948837012736,14.020223,2.1946974,192950543,12.91,5.740636979007934e-05
260.2421587073738,-31.293999137935522,11.042052787402088,4058871363194112384,15.079676,2.5705938,155621675,13.83,5.018828121485998e-05
260.08034559970935,-31.165896361506515,9.258812086940228,4058875422021653120,16.495298,2.8822374,154951879,14.77,0.00013214823205489934
260.4064325836176,-31.04551427778242,2.6715215188017964,4058881434974362624,15.642737,2.1168423,156448140,14.47,9.100102525504121e-05
259.9907050540076,-31.11992402400248,3.924393328448743,4058887649710223360,17.374748,2.8709507,154736625,15.9,7.693698576870731e-05
259.8758115234846,-30.800817802148117,10.010036340558358,4058943866631710848,14.980021,2.4100838,154740871,13.81,0.00012590401696582065
260.0041747378387,-30.622440858324286,5.4978336849015506,4058955750708999552,16.420235,2.6897697,154944476,14.95,6.250955075770303e-05
260.2145888214669,-30.288127159192797,2.147045177937271,4058989943036925056,9.052079,1.3566284,155690793,8.25,2.94944896587468e-05
260.0015847898985,-30.429451101483544,9.45784692490297,4058993241572802816,8.712048,0.6215372,154866252,8.37,5.1187003366502094e-05
259.94618145637446,-30.319496956850305,5.78851838583461,4058997703951335808,14.74316,2.200036,154854367,13.55,1.6288326247594357e-05
260.0745470563657,-30.195904530571816,9.965809762029716,4059005954649128960,13.868815,2.0231342,154863164,12.68,0.0001271844318426172
260.87707621168835,-30.459073616654713,2.86187330036701,4059016743645174784,15.783147,2.0787525,157394675,14.61,3.398877042475425e-05
260.72769514588066,-30.455976595940946,24.47416699049538,4059028048001530496,10.205117,1.5548649,157379148,9.35,0.00014856019752102064
260.62915853632825,-30.252003737934928,4.04152338752056,4059035499667933952,15.981663,2.1761827,156555327,14.82,3.593664209944314e-05
260.60256399549553,-30.204551682859776,14.194691504779481,4059082886146557056,7.8728485,0.68745804,156554598,7.48,0.00015200601952254192
260.5683252780545,-30.087940594525868,10.487939687638114,4059087627790594944,13.721706,2.1053514,156552960,12.33,0.00016132834138023162
260.6095348524988,-30.087897198394323,8.147171052032085,4059090509602240256,10.299989,0.8174372,156552969,9.82,3.0301628378630044e-05
260.97485389744304,-29.82132467550552,12.034354934460707,4059118585929274752,7.334704,1.1053004,85954780,6.7,8.839407614290477e-05
259.5604303042461,-30.438152071095605,2.435939491867201,4059160813931713536,9.376748,0.72689056,153136122,8.91,7.68615560298235e-05
259.65033006005075,-30.364984928073348,12.476495645716602,4059163008682243584,13.336547,1.9130869,153908214,12.4,0.00019905520843329041
259.54985061238506,-30.40363814946078,14.126329044412955,4059163872038980224,15.675782,2.827486,153135684,14.39,7.499624776871708e-05
259.22629838859814,-30.351461973495905,14.120756730588289,4059173488370393472,7.185494,0.45769358,152332064,6.94,3.760971437473167e-05
